ID,mateID
2_1,NA
2_3,NA
2_5,NA
2_6,NA
3_6,NA
3_7,NA
3_8,NA
3_9,NA
3_12,NA
4_2,NA
5_5,NA
5_6,NA
5_8,NA
5_9,NA
5_11,NA
5_13,NA
5_14,NA
5_17,NA
5_19,NA
6a_1,NA
6a_2,NA
6a_3,NA
6a_4,NA
6a_6,NA
6b_1,NA
6b_3,NA
8_1,NA
8_4,NA
8_12,NA
9_2,NA
9_3,NA
9_4,NA
9_5,NA
9_6,NA
9_8,NA
9_9,NA
9_10,NA
2_3_1,2_5_B
2_3_2,2_5_A
2_3_3,2_5_C
2_3_4,2_6_B
2_3_5,NA
2_3_6,2_6_F
2_3_7,2_6_D
2_3_8,2_6_D
2_5_1,2_3_A
2_5_2,2_3_C
2_5_3,2_3_E
2_5_4,2_3_G
2_5_5,2_6_A
2_5_6,2_6_E
2_6_1,2_5_C
2_6_2,2_3_D
2_6_3,2_3_Q
2_6_4,2_5_A
3_6_1,3_8_A
3_6_2,3_7_A
3_6_3,3_9_B
3_6_4,3_9_C
3_7_1,3_6_B
3_7_2,3_6_A
3_7_3,3_9_D
3_7_4,3_9_E
3_7_5,NA
3_7_6,3_9_C
3_7_7,3_9_H
3_8_1,3_9_A
3_9_1,NA
5_5_1,5_14_F
5_5_2,5_17_A
5_5_3,5_9_A
5_8_1,5_14_A
5_8_2,5_5_C
5_8_3,5_5_A
5_8_4,5_5_A
5_8_5,5_14_B
5_8_6,5_9_F
5_8_7,5_9_B
5_8_8,NA
5_9_1,5_5_B
5_9_2,5_8_A
5_9_3,5_17_A
5_9_4,5_14_D
5_9_5,5_8_B
5_9_6,5_8_C
5_9_7,NA
5_9_8,5_14_E
5_9_9,5_8_D
5_9_10,NA
5_9_11,NA
5_9_12,NA
5_13_1,5_14_C
5_13_2,5_9_G
5_13_3,5_5_E
5_13_4,5_8_E
5_13_5,5_9_H
5_13_6,5_9_E
5_13_7,5_14_A
5_14_1,5_9_C
5_14_2,5_5_B
5_14_3,5_8_A
5_14_4,NA
5_14_5,5_5_C
5_17_1,5_14_C
5_17_2,5_5_E
5_17_3,5_9_D
6a_1_1,6a_2_D
6a_1_2,6a_2_A
6a_1_3,NA
6a_1_4,6a_2_A
6a_1_5,6a_2_C
6a_1_6,6a_2_F
6a_1_7,6a_2_B
6a_1_8,6a_2_E
6a_2_1,6a_1_A
6a_2_2,6a_1_C
6a_2_3,6a_1_B
6a_2_4,6a_1_D
6a_2_5,6a_1_E
6a_2_6,6a_1_E
6a_2_7,6a_1_G
6a_2_8,6a_1_H
6a_2_9,6a_1_D
6a_3_1,NA
6a_3_2,6a_1_I
6a_3_3,6a_1_I
6a_3_4,6__1_F
6b_3_1,6b_B
6b_3_2,6b_B
6b_3_3,6b_B
6b_3_4,6b_B
6b_3_5,Y_C
6b_3_6,O_E
8_1_1,8_A
8_1_2,NA
8_1_3,8_12_E
8_1_4,8_12_D
8_1_5,8_12_A
8_4_1,8_1_E
8_4_2,8_1_C
8_4_3,8_1_A
8_4_4,8_1_B
8_4_5,8_1_D
8_4_6,8_1_G
8_12_1,8_1_H
8_12_2,8_1_F
8_12_3,8_1_I
8_12_4,8_1_H
8_12_5,8_1_K
8_12_6,8_1_K
8_12_7,8_1_K
9_4_1,9_10_D
9_5_1,9_10_E
9_5_2,9_10_A
9_5_3,9_10_C
9_5_4,9_10_A
9_5_5,9_10_B
9_5_6,9_10_E
9_5_7,9_10_C
9_5_8,10_A
9_8_1,9_10_B
9_8_2,9_10_A
9_8_3,9_10_C
9_8_4,9_10_F
9_8_5,9_10_G
9_8_6,9_10_F
9_8_7,9_10_H
9_8_8,9_10_D
9_8_9,9_10_G
9_8_10,9_10_G
9_8_11,9_5_B
9_8_12,9_10_E
9_8_13,9_10_B
9_8_14,9_10_H
9_8_15,9_5_C
9_10_1,9_5_A
9_10_2,9_4_A
9_10_3,9_4_B
9_10_4,9_5_A
9_10_5,9_5_A
9_10_6,9_5_B
9_10_7,9_5_B
9_10_8,9_5_D
alpha_1,lambda_D
beta_1,mu_A
beta_2,zeta_A
delta_1,NA
epsilon_1,theta_A
epsilon_2,mu_A
epsilon_3,lambda_B
zeta_1,mu_A
zeta_2,lambda_A
zeta_3,epsilon_A
zeta_4,beta_B
zeta_5,beta_A
zeta_6,lambda_C
zeta_7,lambda_A
zeta_8,theta_C
zeta_9,theta_D
theta_1,alpha_A
theta_2,NA
theta_3,mu_C
theta_4,beta_C
lambda_1,theta_B
lambda_2,mu_D
lambda_3,mu_C
lambda_4,beta_D
mu_1,epsilon_B
xsi_1,sigma_A
sigma_1,omega_A
sigma_2,psi_A
sigma_3,xsi_A
omega_1,phi_A
omega_2,omega_A
A_1,F_A
A_2,J_A
B_1,I_B
B_2,I_A
B_3,G_A
B_4,A_A
B_5,N_B
F_1,G_B
F_2,M_A
G_1,C_A
G_2,B_A
G_3,NA
G_4,C_B
G_5,K_A
G_6,F_B
I_1,G_C
I_2,N_A
I_3,G_A
I_4,A_A
J_1,M_A
K_1,N_B
M_1,I_B
M_2,J_B
M_3,I_B
N_1,NA
O_1,Y_B
O_2,U_B
O_3,Y_C
O_4,U_C
P_1,W_B
Q_1,Y_A
T_1,R_A
T_2,O_B
T_3,P_A
U_1,O_B
U_2,O_C
U_3,P_A
V_1,Y_D
W_1,O_A
W_2,Q_A
W_3,Y_A
W_4,U_A
W_5,O_C
cCedille_1,uAccent_A
cCedille_2,8_12_E
cCedille_3,NA
cCedille_4,uAccent_A
uAccent_1,eAccent_A
uAccent_2,iTrema_A
uAccent_3,eAccent_B
10_1,19_E
10_2,23_C
11_1,20_A
12_1,23_A
12_2,23_B
12_3,14_A
14_1,19_C
14_2,19_E
14_3,23_B
14_4,10_A
14_5,11_C
15_1,19_A
15_2,21_A
15_3,19_B
15_4,19_D
15_5,11_A
19_1,10_B
19_2,15_B
19_3,21_B
19_4,15_D
19_5,15_C
19_6,14_A
21_1,23_A
21_2,15_B
21_3,15_A
21_4,10_A
21_5,19_D
21_6,19_B
21_7,11_B
22_1,NA
23_1,10_A
23_2,20_A
23_3,15_A
23_4,14_A
23_5,NA
23_6,17_A
27_1,6a_C
27_2,6a_D
27_3,5_9_E
27_4,9_5_E
27_5,omega_B
27_6,M_B
27_7,19_C
27_8,19_G
27_9,19_E
27_10,6a_2_C
27_11,3_9_H
27_12,6a_3_B
24_1,2_3_Q
24_2,5_14_E
24_3,delta_B
24_4,2_3_H
24_5,8_12_A
24_6,3_9_H
24_7,upsilon_A
24_8,5_9_E
24_9,zeta_C
31_1,phi_B
31_2,psi_B
31_3,N_C
31_4,zeta_C
31_5,2_3_Q
31_6,delta_B
31_7,zeta_B
31_8,sigma_A
31_9,M_C
31_10,6a_2_C
