patch,landscape,is_habitat,N_adult_females,hours_on_patch,person_hours_on_patch,lat,lon
2,west,y,4,1,2,48.6363869,-1.5890394
3,west,y,5,1,2,48.6319192,-1.5967083
4,west,y,1,1,2,48.6289075,-1.5996882
9,west,y,8,0.5,1,48.6297748,-1.6101257
8,east,y,3,2.5,5.5,48.6277855,-1.4897671
6b,east,y,3,1,2.5,48.6310197,-1.4869548
6a,east,y,5,1.5,3.5,48.6310432,-1.4884752
5,west,y,9,1.5,2,48.6212519,-1.612749
10P,east,n,0,0.5,1,48.6288126,-1.4841276
8bP,east,n,0,0.5,1,48.6269678,-1.4888168
11P,east,n,0,0.5,1,48.6314087,-1.4832873
12P,east,n,0,0.5,1,48.6277168,-1.5022803
1P,west,n,0,1,2,48.6299711,-1.5883881
